1password 8.10.82-29
1password-cli 2.31.0-1
7zip 24.09-3
a52dec 0.8.0-2
aardvark-dns 1.15.0-1
abseil-cpp 20250512.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-4
adobe-source-han-sans-cn-fonts 2.005-1
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-sans-kr-fonts 2.005-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.6-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
ansible 11.7.0-1
ansible-core 2.18.6-2
ansible-language-server 1.2.3-1
aom 3.12.1-1
apparmor 4.1.1-1
appstream 1.0.5-2
apr 1.7.6-1
apr-util 1.6.3-2
arc-gtk-theme 20221218-2
arc-icon-theme 20161122-4
arch-install-scripts 29-1
archlinux-keyring 20250430.1-1
archlinux-xdg-menu 0.7.6.6-2
aribb24 1.0.3-4
at-spi2-core 2.56.3-1
atkmm 2.28.4-1
atool 0.39.0-10
attr 2.5.2-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18-1
avahi 1:0.8+r194+g3f79789-3
awesome-terminal-fonts 1.1.0-5
awk-language-server 0.10.6-1
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash 5.2.037-5
bash-completion 2.16.0-1
bash-language-server 5.6.0-1
bat 0.25.0-4
bind 9.20.10-1
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blend2d 0.12.0-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-utils 5.83-1
bolt 0.9.9-1
boost-libs 1.88.0-3
botan2 2.19.5-2
breezy 3.3.12-1
brightnessctl 0.5.1-3
brother-hll2350dw 4.0.0-2
brotli 1.1.0-3
btop 1.4.3-3
btrfs-progs 6.15-1
bubblewrap 0.11.0-1
buffalo-bin 0.18.14-1
buildkit 0.23.2-1
busybox 1.36.1-2
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.113.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
catatonit 0.2.1-1
ccls 0.20241108-2
cdparanoia 10.2-9
chromaprint 1.5.1-10
cilium-cli 0.18.4-1
clang 20.1.7-1
cliphist 1:0.6.1-1
cmake 4.0.3-1
cni-plugins 1.7.1-1
compiler-rt 20.1.7-1
conmon 1:2.1.13-1
connman 1.44-1
containerd 2.1.3-1
containers-common 1:0.63.1-1
coreutils 9.7-1
cpio 2.15-3
cppdap 1.58.0-2
criu 4.1-1
crun 1.22-1
cryptsetup 2.8.0-1
cups 2:2.4.12-2
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
curl 8.14.1-1
dart-sass 1.86.3-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
